"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.60819462227913,0.00625978090766823,0.999138302455838,0.879000189358076,"3","glm","none","FFS","DROP","MODE","LABEL","1","year1"
0.620157212894744,0.00275862068965517,0.998808578236696,0.873459468842215,"4","glm","none","FFS","DROP","DROP","LABEL","1","year1"
0.597173827633412,0.00158730158730159,0.999097589274204,0.859709437728735,"7","glm","none","FFS","MEDIAN","MODE","LABEL","1","year1"
0.620602176333815,0.00497017892644135,0.998289002955358,0.863887020847344,"8","glm","none","FFS","MEDIAN","DROP","LABEL","1","year1"
0.621796700062504,0.00469483568075117,0.998922878069798,0.878621473205832,"11","glm","none","FFS","DROP","MODE","HARD","1","year1"
0.599456602119909,0.00413793103448276,0.99900714853058,0.873806630793265,"12","glm","none","FFS","DROP","DROP","HARD","1","year1"
0.605062554865959,0.00158730158730159,0.999097589274204,0.859709437728735,"15","glm","none","FFS","MEDIAN","MODE","HARD","1","year1"
0.620602176333815,0.00497017892644135,0.998289002955358,0.863887020847344,"16","glm","none","FFS","MEDIAN","DROP","HARD","1","year1"
0.661200483575492,0.00469483568075117,0.998707453683757,0.87843211512971,"3","glm","none","LASSO","DROP","MODE","LABEL","1","year1"
0.639401550217743,0.00275862068965517,0.99900714853058,0.87363304981774,"4","glm","none","LASSO","DROP","DROP","LABEL","1","year1"
0.654688954779195,0.00793650793650794,0.99845301018435,0.860042142619497,"7","glm","none","LASSO","MEDIAN","MODE","LABEL","1","year1"
0.651948937886138,0.00695825049701789,0.997977912583606,0.863887020847344,"8","glm","none","LASSO","MEDIAN","DROP","LABEL","1","year1"
0.653741877758966,0.00469483568075117,0.998922878069798,0.878621473205832,"11","glm","none","LASSO","DROP","MODE","HARD","1","year1"
0.643416504615047,0.00275862068965517,0.999205718824464,0.873806630793265,"12","glm","none","LASSO","DROP","DROP","HARD","1","year1"
0.660560149460497,0.00873015873015873,0.998324094366379,0.860042142619497,"15","glm","none","LASSO","MEDIAN","MODE","HARD","1","year1"
0.658823849560901,0.00596421471172962,0.997666822211853,0.863483523873571,"16","glm","none","LASSO","MEDIAN","DROP","HARD","1","year1"
0.6132053463006,0.2018779342723,0.904351572598018,0.819352395379663,"3","glm","smote","FFS","DROP","MODE","LABEL","1","year1"
0.622736709484813,0.220689655172414,0.877084988085782,0.794480124978302,"4","glm","smote","FFS","DROP","DROP","LABEL","1","year1"
0.598982230079948,0.171428571428571,0.90318422070388,0.800931573694133,"7","glm","smote","FFS","MEDIAN","MODE","LABEL","1","year1"
0.624377007514719,0.208747514910537,0.903873075128325,0.809818426361802,"8","glm","smote","FFS","MEDIAN","DROP","LABEL","1","year1"
