"fold","algorithm","resampling","encoding","ID","auc","sen","spec","accu","data_scenario","imputation_cat","imputation_num","TARGET","feature_selection","gmean"
1,"svmRadial","down","HARD","9.3.5",0.625390477770159,0.588419405320814,0.587893149504524,0.587956826358644,"9","UNKNOWN","DROP","year1","FFS",0.588156218553908
1,"svmRadial","down","HARD","10.3.5",0.625390477770159,0.588419405320814,0.587893149504524,0.587956826358644,"10","MISSING","DROP","year1","FFS",0.588156218553908
1,"svmRadial","down","HARD","11.3.5",0.625390477770159,0.588419405320814,0.587893149504524,0.587956826358644,"11","MODE","DROP","year1","FFS",0.588156218553908
1,"svmRadial","down","HARD","12.3.5",0.583279696529812,0.497931034482759,0.642970611596505,0.624717930914772,"12","DROP","DROP","year1","FFS",0.56582242954328
1,"svmRadial","down","HARD","13.3.5",0.597294916419578,0.572222222222222,0.599587469382493,0.595763557724299,"13","UNKNOWN","MEDIAN","year1","FFS",0.585745059003189
1,"svmRadial","down","HARD","14.3.5",0.597294916419578,0.572222222222222,0.599587469382493,0.595763557724299,"14","MISSING","MEDIAN","year1","FFS",0.585745059003189
1,"svmRadial","down","HARD","15.3.5",0.591652496158103,0.494444444444444,0.639551372953461,0.619274703338139,"15","MODE","MEDIAN","year1","FFS",0.562336752572385
1,"svmRadial","down","HARD","16.3.5",0.615420171458417,0.515904572564612,0.666355576294914,0.645998655010087,"16","DROP","MEDIAN","year1","FFS",0.58632404757478
1,"svmRadial","down","LABEL","1.1.1.5",0.651798338501496,0.594679186228482,0.616975441619991,0.614277598939595,"1","UNKNOWN","DROP","year1","LASSO",0.605724734137161
1,"svmRadial","down","LABEL","2.1.1.5",0.653752665834636,0.605633802816901,0.61202068074106,0.611247869721644,"2","MISSING","DROP","year1","LASSO",0.608818866560323
1,"svmRadial","down","LABEL","3.1.1.5",0.662694294928458,0.632237871674491,0.603188280913399,0.606703275894717,"3","MODE","DROP","year1","LASSO",0.617542285955936
1,"svmRadial","down","LABEL","4.1.1.5",0.616944208594669,0.56,0.619539316918189,0.612046519701441,"4","DROP","DROP","year1","LASSO",0.589017841388685
1,"svmRadial","down","LABEL","5.1.1.5",0.655120618141115,0.604761904761905,0.615959778264793,0.614395031606965,"5","UNKNOWN","MEDIAN","year1","LASSO",0.610335161005932
1,"svmRadial","down","LABEL","7.1.1.5",0.655797835442028,0.612698412698413,0.616604357354647,0.616058556060774,"7","MODE","MEDIAN","year1","LASSO",0.614648282364896
1,"svmRadial","down","LABEL","8.1.1.5",0.647158115237645,0.598409542743539,0.618603204230829,0.615870880968393,"8","DROP","MEDIAN","year1","LASSO",0.608422600322718
1,"svmRadial","down","HARD","9.1.1.5",0.659036125894146,0.610328638497653,0.626884963377854,0.624881651202424,"9","UNKNOWN","DROP","year1","LASSO",0.618551409498885
1,"svmRadial","down","HARD","12.1.1.5",0.621793706006409,0.6,0.597299444003177,0.597639298732859,"12","DROP","DROP","year1","LASSO",0.59864819919708
1,"svmRadial","down","HARD","14.1.1.5",0.607964439697068,0.558730158730159,0.60203686992394,0.595985360984806,"14","MISSING","MEDIAN","year1","LASSO",0.579979444371963
1,"svmRadial","down","LABEL","1.2.1.5",0.645471469248253,0.613458528951487,0.593709607927617,0.596099223631888,"1","UNKNOWN","DROP","year1","RF",0.603503291377636
1,"svmRadial","down","LABEL","2.2.1.5",0.632623545379703,0.625978090766823,0.558595433003016,0.566748721832986,"2","MISSING","DROP","year1","RF",0.591327745554269
1,"svmRadial","down","LABEL","3.2.1.5",0.641730366882226,0.608763693270736,0.581214993537268,0.584548380988449,"3","MODE","DROP","year1","RF",0.594829879923726
1,"svmRadial","down","LABEL","4.2.1.5",0.612134151351648,0.56551724137931,0.605043685464654,0.60006943239021,"4","DROP","DROP","year1","RF",0.58494669493719
1,"svmRadial","down","LABEL","5.2.1.5",0.64492573016487,0.619047619047619,0.600489880108289,0.60308306532106,"5","UNKNOWN","MEDIAN","year1","RF",0.609698147072161
1,"svmRadial","down","LABEL","6.2.1.5",0.648363382996617,0.623015873015873,0.593270594301921,0.597427082178108,"6","MISSING","MEDIAN","year1","RF",0.607961345188703
1,"svmRadial","down","LABEL","7.2.1.5",0.644401984075827,0.605555555555556,0.595719994843367,0.597094377287346,"7","MODE","MEDIAN","year1","RF",0.600617642458934
1,"svmRadial","down","LABEL","8.2.1.5",0.6256041291526,0.571570576540755,0.602270959713797,0.598117014122394,"8","DROP","MEDIAN","year1","RF",0.586720001088568
1,"svmRadial","down","HARD","9.2.1.5",0.643467247065138,0.629107981220657,0.57755277897458,0.583790948683961,"9","UNKNOWN","DROP","year1","RF",0.602779447915304
1,"svmRadial","down","HARD","10.2.1.5",0.641786330024766,0.624413145539906,0.576260232658337,0.582086725998864,"10","MISSING","DROP","year1","RF",0.599853702600684
